Steps	loss/loss_vae	loss/critic_loss	loss/cost_critic_loss	loss/actor_loss	loss/mmd_loss	loss/qc_penalty	loss/lagrangian	loss/alpha_value	eval/Cost	eval/Reward	eval/Length	train/best_idx	update/env_step
29999	0.05187453939616679	0.014388893021029428	1.3428043809618997	-0.9325983745574957	0.026769575495272886	0.006530701150425005	0.030542608301129044	0.6507393369913101	204.5	123.54133000076175	1000.0	9999.0	29999.0
32499	0.051443543936312223	0.015541786634638748	1.5041533308184534	-0.9546725138902671	0.028552720406651425	0.0065572876949932	0.02493829096954323	0.6283758236408246	223.5	122.09738683365026	1000.0	9999.0	32499.0
34999	0.05111697723418483	0.014834956375491646	1.4276714037278502	-0.9548291973352433	0.025496866241097465	0.006373269922693795	0.01929727490978638	0.6061849280834202	318.9	162.63200051545033	1000.0	9999.0	34999.0
37499	0.05082269591689111	0.015258232269807367	1.8921403511143424	-0.9550578933477389	0.02830422820076345	0.006309073270476144	0.019043016051484722	0.5855731472015386	57.1	60.28124033684276	1000.0	9999.0	37499.0
39999	0.0505856831833719	0.01720896506643657	2.2814150269745936	-0.9606987934350961	0.02919659119471904	0.010433175742840427	0.025391547259734214	0.5679086217880246	50.1	59.891492886361824	1000.0	9999.0	39999.0
42499	0.050150079979002456	0.016689850041275617	1.9592810767716224	-0.9754852746248245	0.0300893958702683	0.007400312863525942	0.015951373665896246	0.5521955237388607	53.4	62.1132480621919	1000.0	9999.0	42499.0
44999	0.05009080688357351	0.016461651560035363	1.6790707365751958	-0.9979324302673347	0.03210401676595207	0.007777963950446499	0.019754521069073477	0.5377744815111167	31.4	41.02306659644464	1000.0	9999.0	44999.0
47499	0.04998448486179107	0.016732099558326694	1.1368771735614092	-1.024340882515908	0.030345000842213622	0.008550681831950959	0.020444120947130617	0.525315157198905	133.0	66.88649084271194	1000.0	9999.0	47499.0
49999	0.049688881760835635	0.015074163746381625	0.9639323760563767	-1.014860894584658	0.028052480352669933	0.0074177991309267305	0.019770446489708757	0.5110080451726906	100.2	91.90953048086807	1000.0	9999.0	49999.0
52499	0.04936084998101	0.014280696327226033	1.0552283451980995	-0.997134887313843	0.027151135384291415	0.00701777999674746	0.021609313547500838	0.4963411508560181	46.5	59.06105441775414	1000.0	9999.0	52499.0
54999	0.049510799619555595	0.015377560657111683	1.2357005506180774	-0.9966787761926647	0.028598091440647795	0.006624121195351656	0.027939655151043834	0.48335605913400587	55.8	57.53903662265529	1000.0	9999.0	54999.0
57499	0.0492247681364417	0.015970002183891812	1.3636656393332292	-0.9965354363679899	0.028410215796530257	0.00651522797443714	0.02473987105116252	0.47106354761123653	53.7	75.45660369819021	1000.0	9999.0	57499.0
59999	0.04928504686504603	0.013345039054014471	1.0154681327336847	-0.9813984239101412	0.02649794787243007	0.005578044109814431	0.02315572562952584	0.4588728280544276	177.5	118.82966651779408	1000.0	9999.0	59999.0
62499	0.04907734463959937	0.013057602941335001	0.9334323809635524	-0.9724789380073545	0.029397109960764688	0.005459815243488465	0.03238828214403002	0.44754282428026176	65.7	67.40626398482466	1000.0	9999.0	62499.0
64999	0.0489023781433703	0.013919946013704117	0.9346635083069634	-0.9802647248268118	0.02972734213247895	0.006314909183554116	0.035948300157301216	0.4377169561624522	82.8	71.27761546903092	1000.0	9999.0	64999.0
67499	0.04856478292793033	0.014045550457988243	1.0096318667248412	-0.9881210390090945	0.03032665671259162	0.005150412446854172	0.030980718080606272	0.42841083260774626	65.4	45.82366536315957	1000.0	9999.0	67499.0
69999	0.04845079482644796	0.014779898131621397	1.002794216248865	-0.9805675762176514	0.028384331404417786	0.005154375337266539	0.031555884908759754	0.41891138963699376	18.4	46.942678144556865	1000.0	9999.0	69999.0
72499	0.04855399679690606	0.013361893793490913	0.8997363064199753	-0.9798063623428336	0.030743996376544208	0.005389084183848183	0.03454885730914541	0.41015703474283266	38.4	62.58000348130731	1000.0	9999.0	72499.0
74999	0.04816544444113966	0.014101676336518055	0.9790312620343317	-0.9775017627239245	0.02794342543035742	0.004839149884330983	0.023956353486844478	0.4016219888210301	42.5	52.08582030255792	1000.0	9999.0	74999.0
77499	0.0483640633404255	0.013870608213240399	1.0534494707643831	-0.9647656481742841	0.029698368427157437	0.004790973512758505	0.03032072165180001	0.39312335669994325	41.9	53.61931752818405	1000.0	9999.0	77499.0
79999	0.04828326658606527	0.014624870146060074	1.2195651215608834	-0.9701844719648373	0.03185437399819499	0.004757843155058806	0.03344193247389042	0.38595532156229007	27.3	37.52253287547275	1000.0	9999.0	79999.0
82499	0.04813900628015399	0.01472469936105973	1.1657364792417075	-0.9884440398454665	0.03412768047600981	0.0048723559783829815	0.031915114301303324	0.3797648391127585	53.3	59.50708537586982	1000.0	9999.0	82499.0
84999	0.047840432651341004	0.014299480064964806	1.038457132460994	-1.0010613044977186	0.03204910125955951	0.004876071862503615	0.02320899417249379	0.37395514627695114	52.0	39.404090921503546	1000.0	9999.0	84999.0
87499	0.04778748700171708	0.014525881525806354	1.022961077698251	-1.0033526441097267	0.036499679373949726	0.00567252603446291	0.02862375343601201	0.3678440699219705	35.4	20.461749971813862	1000.0	9999.0	87499.0
89999	0.047876954141259136	0.01632660232077996	1.0094015563170367	-1.0747762100219687	0.04306099552661182	0.004330705222951823	0.015353178710654974	0.36510249228477504	46.8	40.61421614194388	1000.0	9999.0	89999.0
92499	0.04791603050678973	0.0147748642130728	0.9767713656395043	-1.088511120700837	0.030672923259437	0.0027962772082828356	0.008880615143550956	0.3609489296317102	126.1	115.25311586121798	1000.0	9999.0	92499.0
94999	0.04780315851569175	0.014028773269308435	1.3848641081496833	-1.056824434876442	0.02801578548327088	0.003271518021474812	0.011663990296381438	0.3540768965601923	44.5	50.112900218051095	1000.0	9999.0	94999.0
97499	0.047690069745481026	0.014928301501056321	2.193804364106312	-1.02931329338551	0.029699539017677287	0.004977728905292172	0.01622078236164035	0.34750059546232226	64.0	59.01467502340683	1000.0	9999.0	97499.0
99999	0.04743182771801952	0.013933783059517287	2.2792787173273257	-1.0163924752235427	0.03158550373837354	0.005357697954135992	0.018455718450242676	0.34165421549081815	68.4	72.3788692080978	1000.0	9999.0	99999.0
