Steps	loss/loss_vae	loss/critic_loss	loss/cost_critic_loss	loss/actor_loss	loss/mmd_loss	loss/qc_penalty	loss/lagrangian	loss/alpha_value	eval/Cost	eval/Reward	eval/Length	train/best_idx	update/env_step
47499	0.07710183921009289	0.00027940351415828394	0.5647084574971687	0.002075639176956615	0.021524062817543762	-0.0001334682716415555	4.362160184844294e-05	0.4493245911359794	26.7	8.83178043660749	1000.0	39999.0	47499.0
49999	0.07679323314875355	0.00028093767044968496	0.5562802509226065	0.0024626768775895497	0.02170285915359859	-0.00014041800777827104	4.3450707998215324e-05	0.435407182991505	38.1	8.521912824743156	1000.0	39999.0	49999.0
52499	0.07671569932997213	0.0002829093385185727	0.5661238502591691	0.0023332766569728867	0.02123031671121717	-0.00015088664919803724	4.447361204746582e-05	0.42231552779674586	38.2	10.193216237216848	1000.0	39999.0	52499.0
54999	0.07667818921357362	0.0002861733978816881	0.553694369452081	0.0023127459834468	0.02143526430502535	-0.000154778030405646	4.348627955521353e-05	0.4099131087303165	37.5	5.971671188748361	1000.0	39999.0	54999.0
57499	0.07668821720480912	0.0002841529809232582	0.5553853969241658	0.0021010917096253223	0.021488838738948152	-0.00016565634916769338	4.4626591895689656e-05	0.39824432461261716	49.3	8.731804731243106	1000.0	39999.0	57499.0
59999	0.07654894410222772	0.00028214663790111777	0.5652161729043674	0.0018934389652029502	0.02138603750094774	-0.0001732002374391462	4.4915285383644145e-05	0.38727792891263974	54.9	9.93577673207542	1000.0	39999.0	59999.0
62499	0.07658330737650404	0.0002814451804260272	0.5851196410652363	0.0017253374238396658	0.02135366122648123	-0.0001854705924792827	4.649525120552197e-05	0.37680108671188284	22.0	5.8300840025248455	1000.0	39999.0	62499.0
64999	0.07619141734689476	0.00028027696084417683	0.5894071481741243	0.0014207867460558211	0.0213122526973486	-0.00019095870072148918	4.631798998754557e-05	0.36689525457620586	33.0	8.9818875169047	1000.0	39999.0	64999.0
67499	0.07631670541167247	0.0002877999029446078	0.5962120812550783	0.001267656492068637	0.021378353997319962	-0.00019804525402546477	4.661066708580958e-05	0.3575255068540572	25.8	7.832730231146252	1000.0	39999.0	67499.0
69999	0.07625987225621965	0.00028683216945792555	0.6017244985639439	0.0010077178961611917	0.021413229691237233	-0.00021723064185475783	4.9647581920066896e-05	0.3485765018343916	66.8	10.999484888131112	1000.0	39999.0	69999.0
72499	0.0761555301457643	0.00028239801756402917	0.6166234879713887	0.0006605937612621339	0.021496379675716198	-0.00022100351095117481	4.917785496930378e-05	0.3401210995435717	60.1	7.10269756876272	1000.0	39999.0	72499.0
74999	0.07593645913749941	0.00028283621767233986	0.6315221465141749	0.00035273557935433823	0.021459955928474654	-0.00023237638939721175	5.0468947221787604e-05	0.33207366570234303	53.5	10.882619066892778	1000.0	39999.0	74999.0
77499	0.07596415911614869	0.0002845460134460095	0.6457025233072426	-0.00018123861471831349	0.021529274360090535	-0.000246236457309704	5.233628315700967e-05	0.32438467344045674	55.4	8.268343188562499	1000.0	39999.0	77499.0
79999	0.07584868242591623	0.0002855334370213367	0.6519601195529006	-0.0008228921950634693	0.021538862863928088	-0.00025192825656445214	5.246808299516488e-05	0.3170674766778952	41.0	12.635247272229401	1000.0	39999.0	79999.0
82499	0.07568654229044898	0.0002848779708903388	0.6666876949099718	-0.0015326816457469244	0.021657144457101773	-0.00026126525009547124	5.346766949427887e-05	0.31009364250898436	75.4	12.530711669432636	1000.0	39999.0	82499.0
84999	0.0755376654371621	0.0002854124221666303	0.6659067632956094	-0.002009173200262741	0.0215635904148221	-0.0002611671807065477	5.250974739608271e-05	0.3033972081303597	23.9	5.956399281303307	1000.0	39999.0	84999.0
87499	0.0756417576879266	0.0002793094413340539	0.6793649948905167	-0.002798168815005911	0.021412978060543555	-0.00028107928468168664	5.56521535748345e-05	0.2969849108338364	36.8	10.549074248541354	1000.0	39999.0	87499.0
89999	0.07573986187279232	0.00028183625032027524	0.6788171955016432	-0.0031849893472506653	0.021699086152762254	-0.00028256657458834976	5.520541278125392e-05	0.2908423573613164	18.6	6.525294399702168	1000.0	39999.0	89999.0
92499	0.07567247579842817	0.00028257400964477495	0.6905932276592922	-0.0035024735735147273	0.021725057075917768	-0.00029370546645691276	5.6836692100614526e-05	0.28499181317090955	35.8	6.774416580415032	1000.0	39999.0	92499.0
94999	0.07562519584596146	0.00028530092132961996	0.6904274538891609	-0.003799442695180913	0.0215186709485948	-0.0002865818395133601	5.490132841023305e-05	0.2793337184548372	30.4	8.097129805353763	1000.0	39999.0	94999.0
97499	0.07536151304394012	0.0002794962045692891	0.6999805805890459	-0.004555750000433178	0.021499090205132944	-0.0003081823252802105	5.865620229566278e-05	0.2738819651961328	42.0	7.065090211465195	1000.0	39999.0	97499.0
99999	0.07531207873225226	0.00027370056262497405	0.7094792544010412	-0.005037378117520719	0.021762094626575697	-0.00031186787772940057	5.892759381944189e-05	0.2686723144292827	61.5	7.583171610425497	1000.0	39999.0	99999.0
