Steps	loss/chi_loss	loss/tau_loss	loss/D_kl	loss/Df	loss/td_error	loss/nu_loss	loss/lmbda_loss	loss/actor_loss	loss/tau	loss/lmbda	eval/Cost	eval/Reward	eval/Length	train/best_idx	update/env_step
27499	0.08377648487937889	-0.01174625685093922	0.021796873510374865	0.016306614580351556	0.013590360226592612	-0.016825406967737454	0.3903657268524173	0.1783222967228871	0.994112841796875	0.20370234273672103	2.5	2.1513418609327726	1000.0	27499.0	27499.0
29999	0.09086672959519769	-0.01300204326324164	0.022731912736768774	0.016577651236622054	0.013658475434545347	-0.016597784476563328	0.31532201765775725	0.17188277342770258	1.0208165995120986	0.1651555424451828	23.6	6.081808806329576	1000.0	27499.0	29999.0
32499	0.09951770165501803	-0.016003499293699857	0.02480297431447456	0.016984211571274586	0.014461187255403768	-0.014967367822123882	0.2536151721239086	0.1700582804945635	1.0797721353530887	0.13347071467936053	21.7	5.555495933655452	1000.0	27499.0	32499.0
34999	0.10170291417927534	-0.014905873879231528	0.023181271165846347	0.0189377143919753	0.016857073183320505	-0.014988841133587236	0.20425962586402913	0.1619887062037432	1.131084971475602	0.10760107000470172	36.7	2.8324831406864845	1000.0	27499.0	34999.0
37499	0.10346335222450687	-0.01369866782026363	0.021236524174307488	0.01913410160917212	0.01689712031028775	-0.013503292619384514	0.16412789360284816	0.1616654007884595	1.2217390473365792	0.08654220562577239	15.3	2.058283523365109	1000.0	27499.0	37499.0
39999	0.10188273601347819	-0.01048136768781111	0.017772135638644264	0.017309945661081433	0.01638173730651046	-0.012561994378351858	0.13187193627059476	0.15822205849162047	1.354148159265518	0.06947922155112025	22.7	6.308713803657093	1000.0	27499.0	39999.0
42499	0.10210060020533676	-0.008297193601615077	0.015602161060478278	0.019614410536482423	0.018185358388628434	-0.01273444809950758	0.10571551702991128	0.15520267755198858	1.4830040004730214	0.05570392809361229	17.9	5.683822175364075	1000.0	27499.0	42499.0
44999	0.10135750638148623	-0.006239458309120528	0.013977440525929431	0.020259507078555793	0.019930694077994273	-0.012598812713158259	0.08470187566280366	0.15232669579403005	1.5723020352363561	0.044613171704113455	17.5	4.824460026320559	1000.0	27499.0	44999.0
47499	0.09948732486129291	-0.003741686758949612	0.012228221872663213	0.020934635169952188	0.021812403908504203	-0.01169702983211994	0.06783951122760765	0.14902550241295592	1.6859731230258934	0.0356973363623023	47.4	4.415682509651136	1000.0	27499.0	47499.0
49999	0.09938061297499226	-0.0021320691339062293	0.011195137571141212	0.020221710482502073	0.019667644929439763	-0.011662785495190531	0.05424671582803127	0.1478286779002696	1.7875634484291085	0.02854390018880373	37.1	5.606762472866412	1000.0	27499.0	49999.0
